Life expectancy,Adult Mortality,infant deaths,Alcohol,Hepatitis B,BMI,Polio,Diphtheria,HIV,Schooling
65,263,62,0.01,65,19.1,6,65,0.1,10.1
60,271,64,0.01,62,18.6,58,62,0.1,10
60,268,66,0.01,64,18.1,62,64,0.1,9.9
60,272,69,0.01,67,17.6,67,67,0.1,9.8
60,275,71,0.01,68,17.2,68,68,0.1,9.5
59,279,74,0.01,66,16.7,66,66,0.1,9.2
59,281,77,0.01,63,16.2,63,63,0.1,8.9
59,287,80,0.03,64,15.7,64,64,0.1,8.7
58,295,82,0.02,63,15.2,63,63,0.1,8.4
58,295,84,0.03,64,14.7,58,58,0.1,8.1
57,291,85,0.02,66,14.2,58,58,0.1,7.9
57,293,87,0.02,67,13.8,5,55,0.1,6.8
57,295,87,0.01,65,13.4,41,41,0.1,6.5
56,3,88,0.01,64,13.4,36,36,0.1,6.2
55,316,88,0.01,63,12.6,35,33,0.1,5.9
55,321,88,0.01,62,12.2,24,24,0.1,5.5
78,74,0,4.6,99,58.1,99,99,0.1,14.2
78,8,0,4.51,98,57.2,98,98,0.1,14.2
77,84,0,4.76,99,56.5,99,99,0.1,14.2
77,86,0,5.14,99,55.8,99,99,0.1,14.2
77,88,0,5.37,99,55.1,99,99,0.1,13.3
76,91,1,5.28,99,54.3,99,99,0.1,12.5
76,91,1,5.79,98,53.5,98,98,0.1,12.2
75,1,1,5.61,99,52.6,99,99,0.1,12
76,9,1,5.58,98,51.7,99,98,0.1,11.6
74,99,1,5.31,98,5.8,97,97,0.1,11.4
74,15,1,5.16,98,49.9,97,98,0.1,10.8
73,17,1,4.54,99,48.9,98,97,0.1,10.9
73,18,1,4.29,97,47.9,97,97,0.1,10.7
73,15,1,3.73,96,46.9,98,98,0.1,10.7
74,14,1,4.25,96,46.3,97,97,0.1,10.6
73,11,1,3.66,96,45.2,97,97,0.1,10.7
76,19,21,5.58,95,59.5,95,95,0.1,14.4
75,11,21,0.01,95,58.4,95,95,0.1,14.4
75,112,21,0.53,95,57.2,95,95,0.1,14.4
75,113,21,0.66,95,56.1,95,95,0.1,14.4
75,116,21,0.56,95,55.3,95,95,0.1,14
75,119,21,0.45,95,53.9,95,95,0.1,13.6
74,123,20,0.5,94,52.8,94,95,0.1,13.1
74,126,20,0.46,91,51.8,92,93,0.1,12.6
74,129,20,0.44,9,5.8,95,95,0.1,12.3
73,132,20,0.36,8,49.8,95,95,0.1,12.3
73,136,19,0.5,83,48.9,88,88,0.1,12
72,14,19,0.45,81,47.9,86,86,0.1,11.7
71,146,20,0.34,64,47.2,87,87,0.1,11.5
72,145,20,0.36,64,46.1,86,86,0.1,11.1
71,145,20,0.23,77,45.3,89,89,0.1,10.9
71,145,21,0.25,75,44.4,86,86,0.1,10.7
52,335,66,0.34,72,23.3,7,64,1.9,11.4
51,348,67,8.33,77,22.7,68,64,2.2,11.4
51,355,69,8.1,77,22.1,67,77,2.3,11.4
56,358,72,8.24,75,21.5,75,75,2.6,10.3
51,361,75,8.06,72,21.5,73,71,2.5,9.4
49,365,78,7.8,77,2.4,81,77,2.5,9
49,369,81,7.01,61,19.8,63,66,2.5,8.5
48,371,84,7.07,69,19.3,65,69,2.6,8.1
48,375,87,6.35,73,18.8,75,73,2.6,7.7
47,381,90,5.84,75,18.2,36,34,2.5,7.2
47,382,92,5.04,72,17.7,39,38,2.6,6.8
47,386,94,3.53,77,17.2,4,44,2.5,6.4
46,388,95,3.49,61,16.8,4,44,2.4,5.9
46,391,96,2.82,69,16.3,37,41,2.3,5.5
45,44,97,2.58,75,15.8,41,38,2.1,5.1
45,48,97,1.85,72,15.4,3,28,2.2,4.6
